Comunidad Autónoma;Confirmados;Muertes;Día;Comunidad/Ciudad Autónoma
Asturias;1731.0;26.0;2020-10-25;Principado de Asturias
Total;109572.0;977.0;2020-10-25;Total
Castilla-Leon;9302.0;139.0;2020-10-25;Castilla y León
Cataluña;23827.0;51.0;2020-10-25;Cataluña
Murcia;3589.0;26.0;2020-10-25;Región de Murcia
Madrid;15964.0;232.0;2020-10-25;Comunidad de Madrid
Aragon;5729.0;58.0;2020-10-25;Aragón
Valencia;5307.0;39.0;2020-10-25;Comunitat Valenciana
Extremadura;2214.0;30.0;2020-10-25;Extremadura
Canarias;975.0;16.0;2020-10-25;Canarias
Navarra;3697.0;29.0;2020-10-25;Comunidad Foral de Navarra
Melilla;540.0;1.0;2020-10-25;Melilla
Ceuta;404.0;6.0;2020-11-01;Ceuta
Canarias;716.0;15.0;2020-11-01;Canarias
Castilla-La Mancha;6695.0;87.0;2020-11-01;Castilla - La Mancha
Galicia;4511.0;45.0;2020-11-01;Galicia
Asturias;2363.0;46.0;2020-11-01;Principado de Asturias
Total;139546.0;1126.0;2020-11-01;Total
Melilla;651.0;1.0;2020-11-01;Melilla
Valencia;7761.0;54.0;2020-11-01;Comunitat Valenciana
Andalucia;23893.0;200.0;2020-11-01;Andalucía
Murcia;5109.0;34.0;2020-11-01;Región de Murcia
Cantabria;1199.0;4.0;2020-11-01;Cantabria
La Rioja;1210.0;21.0;2020-11-01;La Rioja
Baleares;1485.0;10.0;2020-11-01;Illes Balears
Aragon;7898.0;88.0;2020-11-01;Aragón
Pais Vasco;7687.0;50.0;2020-11-01;País Vasco
Madrid;13581.0;208.0;2020-11-01;Comunidad de Madrid
Castilla-Leon;11047.0;153.0;2020-11-01;Castilla y León
Extremadura;3230.0;38.0;2020-11-01;Extremadura
Cataluña;35965.0;31.0;2020-11-01;Cataluña
Navarra;4141.0;35.0;2020-11-01;Comunidad Foral de Navarra
Andalucia;30957.0;311.0;2020-11-08;Andalucía
Valencia;8522.0;113.0;2020-11-08;Comunitat Valenciana
